orig_geocode,des_geocode,diff
1239,1109,96.85235595703125
1239,1465,78.319091796875
1239,1239,0.0
1239,1187,13.188568115234375
1239,1324,108.71768188476562
1239,1259,-14.878959655761719
1239,1189,98.3790283203125
1239,1326,95.85052490234375
1239,1277,-17.361732482910156
1239,1127,-17.5474853515625
1239,1279,-18.158538818359375
1239,1328,155.7526397705078
1239,1129,19.107513427734375
1239,1069,-15.909599304199219
1239,1108,64.79299926757812
1239,1217,37.415496826171875
1239,1067,-16.719680786132812
1239,1445,-20.49919891357422
1187,1705,32.54331970214844
1187,1156,93.20689392089844
1187,1139,-36.99097442626953
1187,1097,-27.985443115234375
1187,1219,-17.876441955566406
1187,1159,-14.113128662109375
1187,1307,-29.29503631591797
1187,1157,-9.158477783203125
1187,1099,-11.602294921875
1187,1237,-26.524429321289062
1187,1169,39.63523864746094
1187,1309,-29.977630615234375
1187,1257,-24.195022583007812
1187,1109,83.66378784179688
1187,1465,65.13052368164062
1187,1239,-13.188568115234375
1187,1187,0.0
1187,1324,95.52911376953125
1187,1259,-28.067527770996094
1187,1189,85.19046020507812
1187,1326,82.66195678710938
1187,1277,-30.55030059814453
1187,1127,-30.736053466796875
1187,1279,-31.34710693359375
1187,1328,142.56407165527344
1187,1129,5.9189453125
1187,1069,-29.098167419433594
1187,1108,51.60443115234375
1187,1217,24.2269287109375
1187,1067,-29.908248901367188
1187,1445,-33.687767028808594
1324,1705,-62.98579406738281
1324,1156,-2.3222198486328125
1324,1139,-132.52008056640625
1324,1097,-123.51455688476562
1324,1219,-113.40555572509766
1324,1159,-109.64224243164062
1324,1307,-124.82415008544922
1324,1157,-104.68759155273438
1324,1099,-107.13140869140625
1324,1237,-122.05354309082031
1324,1169,-55.89387512207031
1324,1309,-125.50674438476562
1324,1257,-119.72413635253906
1324,1109,-11.865325927734375
1324,1465,-30.398590087890625
1324,1239,-108.71768188476562
1324,1187,-95.52911376953125
1324,1324,0.0
1324,1259,-123.59664154052734
1324,1189,-10.338653564453125
1324,1326,-12.867156982421875
1324,1277,-126.07941436767578
1324,1127,-126.26516723632812
1324,1279,-126.876220703125
1324,1328,47.03495788574219
1324,1129,-89.61016845703125
1324,1069,-124.62728118896484
1324,1108,-43.9246826171875
1324,1217,-71.30218505859375
1324,1067,-125.43736267089844
1324,1445,-129.21688842773438
1259,1705,60.61084747314453
1259,1156,121.27442169189453
1259,1139,-8.923446655273438
